ds,year,month,day,weekday,is_weekend,hour,y
2023-07-24 11:00:00,2023,7,24,0,0,11,50.62183615819243
2023-07-24 12:00:00,2023,7,24,0,0,12,115.66000000000348
2023-07-24 13:00:00,2023,7,24,0,0,13,129.98000000001048
2023-07-24 14:00:00,2023,7,24,0,0,14,134.34999999997672
2023-07-24 15:00:00,2023,7,24,0,0,15,133.90000000002328
2023-07-24 16:00:00,2023,7,24,0,0,16,126.92999999999302
2023-07-24 17:00:00,2023,7,24,0,0,17,121.22000000000116
2023-07-24 18:00:00,2023,7,24,0,0,18,91.33999999999652
2023-07-24 19:00:00,2023,7,24,0,0,19,58.929999999993015
2023-07-24 20:00:00,2023,7,24,0,0,20,26.85000000000582
2023-07-24 21:00:00,2023,7,24,0,0,21,7.5
2023-07-24 22:00:00,2023,7,24,0,0,22,1.2999999999883585
2023-07-24 23:00:00,2023,7,24,0,0,23,0.0
2023-07-25 00:00:00,2023,7,25,1,0,0,0.0
2023-07-25 01:00:00,2023,7,25,1,0,1,0.0
2023-07-25 02:00:00,2023,7,25,1,0,2,0.0
2023-07-25 03:00:00,2023,7,25,1,0,3,0.0
2023-07-25 04:00:00,2023,7,25,1,0,4,0.0
2023-07-25 05:00:00,2023,7,25,1,0,5,0.0
2023-07-25 06:00:00,2023,7,25,1,0,6,0.0
2023-07-25 07:00:00,2023,7,25,1,0,7,0.0199999999895226
2023-07-25 08:00:00,2023,7,25,1,0,8,2.540000000008149
2023-07-25 09:00:00,2023,7,25,1,0,9,10.980000000010476
2023-07-25 10:00:00,2023,7,25,1,0,10,42.30999999999767
2023-07-25 11:00:00,2023,7,25,1,0,11,81.63999999998487
2023-07-25 12:00:00,2023,7,25,1,0,12,115.5800000000163
2023-07-25 13:00:00,2023,7,25,1,0,13,131.70999999999185
2023-07-25 14:00:00,2023,7,25,1,0,14,119.92999999999302
2023-07-25 15:00:00,2023,7,25,1,0,15,79.47000000000116
2023-07-25 16:00:00,2023,7,25,1,0,16,114.98000000001048
2023-07-25 17:00:00,2023,7,25,1,0,17,119.42999999999302
2023-07-25 18:00:00,2023,7,25,1,0,18,100.57000000000698
2023-07-25 19:00:00,2023,7,25,1,0,19,68.44999999998254
2023-07-25 20:00:00,2023,7,25,1,0,20,33.18000000002212
2023-07-25 21:00:00,2023,7,25,1,0,21,8.099999999976717
2023-07-25 22:00:00,2023,7,25,1,0,22,0.9900000000197906
2023-07-25 23:00:00,2023,7,25,1,0,23,0.0
2023-07-26 00:00:00,2023,7,26,2,0,0,0.0
2023-07-26 01:00:00,2023,7,26,2,0,1,0.0
2023-07-26 02:00:00,2023,7,26,2,0,2,0.0
2023-07-26 03:00:00,2023,7,26,2,0,3,0.0
2023-07-26 04:00:00,2023,7,26,2,0,4,0.0
2023-07-26 05:00:00,2023,7,26,2,0,5,0.0
2023-07-26 06:00:00,2023,7,26,2,0,6,0.0
2023-07-26 07:00:00,2023,7,26,2,0,7,0.0599999999976716
2023-07-26 08:00:00,2023,7,26,2,0,8,2.540000000008149
2023-07-26 09:00:00,2023,7,26,2,0,9,11.21999999997206
2023-07-26 10:00:00,2023,7,26,2,0,10,42.0
2023-07-26 11:00:00,2023,7,26,2,0,11,82.20000000001164
2023-07-26 12:00:00,2023,7,26,2,0,12,115.94000000000231
2023-07-26 13:00:00,2023,7,26,2,0,13,131.9899999999907
2023-07-26 14:00:00,2023,7,26,2,0,14,118.95000000001164
2023-07-26 15:00:00,2023,7,26,2,0,15,100.29999999998836
2023-07-26 16:00:00,2023,7,26,2,0,16,125.3300000000163
2023-07-26 17:00:00,2023,7,26,2,0,17,115.30999999999769
2023-07-26 18:00:00,2023,7,26,2,0,18,98.29999999998836
2023-07-26 19:00:00,2023,7,26,2,0,19,66.6700000000128
2023-07-26 20:00:00,2023,7,26,2,0,20,32.16000000000349
2023-07-26 21:00:00,2023,7,26,2,0,21,8.169999999983702
2023-07-26 22:00:00,2023,7,26,2,0,22,1.0100000000093132
2023-07-26 23:00:00,2023,7,26,2,0,23,0.0
2023-07-27 00:00:00,2023,7,27,3,0,0,0.0
2023-07-27 01:00:00,2023,7,27,3,0,1,0.0
2023-07-27 02:00:00,2023,7,27,3,0,2,0.0
2023-07-27 03:00:00,2023,7,27,3,0,3,0.0
2023-07-27 04:00:00,2023,7,27,3,0,4,0.0
2023-07-27 05:00:00,2023,7,27,3,0,5,0.0
2023-07-27 06:00:00,2023,7,27,3,0,6,0.0
2023-07-27 07:00:00,2023,7,27,3,0,7,0.040000000008149
2023-07-27 08:00:00,2023,7,27,3,0,8,2.5
2023-07-27 09:00:00,2023,7,27,3,0,9,11.39999999999418
2023-07-27 10:00:00,2023,7,27,3,0,10,40.72000000000117
2023-07-27 11:00:00,2023,7,27,3,0,11,79.80999999999767
2023-07-27 12:00:00,2023,7,27,3,0,12,112.0
2023-07-27 13:00:00,2023,7,27,3,0,13,126.5
2023-07-27 14:00:00,2023,7,27,3,0,14,102.52999999999884
2023-07-27 15:00:00,2023,7,27,3,0,15,61.19000000000233
2023-07-27 16:00:00,2023,7,27,3,0,16,75.70999999999185
2023-07-27 17:00:00,2023,7,27,3,0,17,107.66000000000348
2023-07-27 18:00:00,2023,7,27,3,0,18,31.820000000006985
2023-07-27 19:00:00,2023,7,27,3,0,19,61.11999999999534
2023-07-27 20:00:00,2023,7,27,3,0,20,32.920000000012806
2023-07-27 21:00:00,2023,7,27,3,0,21,8.25999999998021
2023-07-27 22:00:00,2023,7,27,3,0,22,1.0299999999988358
2023-07-27 23:00:00,2023,7,27,3,0,23,0.0
2023-07-28 00:00:00,2023,7,28,4,0,0,0.0
2023-07-28 01:00:00,2023,7,28,4,0,1,0.0
2023-07-28 02:00:00,2023,7,28,4,0,2,0.0
2023-07-28 03:00:00,2023,7,28,4,0,3,0.0
2023-07-28 04:00:00,2023,7,28,4,0,4,0.0
2023-07-28 05:00:00,2023,7,28,4,0,5,0.0
2023-07-28 06:00:00,2023,7,28,4,0,6,0.0
