ds,hour,day,Solar Energy Generated,Solar Energy Consumed,Excess Solar Energy,Total Energy Consumed,Carbon Intensity gCO₂eq/kWh (direct),CO2 Emissions,Battery Charge (kWh),Battery Discharge (kWh),Battery Level (kWh),Grid Energy Used (kWh),Adjusted CO2 Emissions (with Battery)
2024-09-01 00:00:00,0,1,0,0.0,0.0,110.85588836669922,170.04,18849.935257873534,0.0,0.0,0.0,110.85588836669922,18849.935257873534
2024-09-01 01:00:00,1,1,0,0.0,0.0,107.34120178222656,175.13,18798.66466812134,0.0,0.0,0.0,107.34120178222656,18798.66466812134
2024-09-01 02:00:00,2,1,0,0.0,0.0,105.55030822753906,175.53,18527.24560317993,0.0,0.0,0.0,105.55030822753906,18527.24560317993
2024-09-01 03:00:00,3,1,0,0.0,0.0,106.84010314941406,174.22,18613.682770690917,0.0,0.0,0.0,106.84010314941406,18613.682770690917
2024-09-01 04:00:00,4,1,0,0.0,0.0,105.87979125976562,175.05,18534.257460021974,0.0,0.0,0.0,105.87979125976562,18534.257460021974
2024-09-01 05:00:00,5,1,0,0.0,0.0,106.00039672851562,170.19,18040.207519226075,0.0,0.0,0.0,106.00039672851562,18040.207519226075
2024-09-01 06:00:00,6,1,0,0.0,0.0,105.4976806640625,159.95,16874.354022216794,0.0,0.0,0.0,105.4976806640625,16874.354022216794
2024-09-01 07:00:00,7,1,0,0.0,0.0,101.1223373413086,123.35,12473.440311050414,0.0,0.0,0.0,101.1223373413086,12473.440311050414
2024-09-01 08:00:00,8,1,0,0.0,0.0,97.69123840332033,81.8,7991.143301391602,0.0,0.0,0.0,97.69123840332033,7991.143301391602
2024-09-01 09:00:00,9,1,4,6.05,0.0,64.4134292602539,66.29,4269.966225662231,0.0,0.0,0.0,64.4134292602539,4269.966225662231
2024-09-01 10:00:00,10,1,10,20.56,0.0,43.48149871826172,57.99,2521.492110671997,0.0,0.0,0.0,43.48149871826172,2521.492110671997
2024-09-01 11:00:00,11,1,20,26.05,0.0,40.48365020751953,55.83,2260.2021910858152,0.0,0.0,0.0,40.48365020751953,2260.2021910858152
2024-09-01 12:00:00,12,1,30,13.14,16.86,55.56610870361328,48.66,2703.846849517822,16.86,0.0,16.86,55.56610870361328,2703.846849517822
2024-09-01 13:00:00,13,1,39,31.26,7.739999999999998,47.57512664794922,47.05,2238.4097087860105,7.739999999999998,0.0,24.599999999999998,47.57512664794922,2238.4097087860105
2024-09-01 14:00:00,14,1,45,36.67,8.329999999999998,41.42887115478516,47.9,1984.4429283142092,8.329999999999998,0.0,32.92999999999999,41.42887115478516,1984.4429283142092
2024-09-01 15:00:00,15,1,47,16.85,30.15,47.58536529541016,54.81,2608.1538718414313,30.15,0.0,63.07999999999999,47.58536529541016,2608.1538718414313
2024-09-01 16:00:00,16,1,46,14.13,31.869999999999997,54.394168853759766,68.23,3711.314140892029,31.869999999999997,0.0,94.94999999999999,54.394168853759766,3711.314140892029
2024-09-01 17:00:00,17,1,40,12.21,27.79,55.62261962890625,111.68,6211.93416015625,5.050000000000011,0.0,100.0,55.62261962890625,6211.93416015625
2024-09-01 18:00:00,18,1,31,83.43,0.0,9.58168601989746,154.65,1481.8077429771422,0.0,9.58168601989746,90.41831398010254,0.0,0.0
2024-09-01 19:00:00,19,1,23,46.62,0.0,26.942745208740234,175.0,4714.980411529541,0.0,26.942745208740234,63.475568771362305,0.0,0.0
2024-09-01 20:00:00,20,1,11,19.23,0.0,53.62102508544922,175.76,9424.431369018554,0.0,53.62102508544922,9.854543685913086,0.0,0.0
2024-09-01 21:00:00,21,1,4,2.43,1.5699999999999998,73.34294128417969,168.76,12377.354771118164,0.0,9.854543685913086,0.0,63.4883975982666,10714.30197868347
2024-09-01 22:00:00,22,1,0,-0.07,0.07,106.42677307128906,155.6,16560.005889892578,0.0,0.0,0.0,106.42677307128906,16560.005889892578
2024-09-01 23:00:00,23,1,0,0.0,0.0,104.55496215820312,152.98,15994.818110961913,0.0,0.0,0.0,104.55496215820312,15994.818110961913
2024-09-02 00:00:00,0,2,0,0.0,0.0,104.53553771972656,156.26,16334.723124084472,0.0,0.0,0.0,104.53553771972656,16334.723124084472
2024-09-02 01:00:00,1,2,0,0.0,0.0,100.90167999267578,164.21,16569.06487159729,0.0,0.0,0.0,100.90167999267578,16569.06487159729
2024-09-02 02:00:00,2,2,0,0.0,0.0,103.88633728027344,169.97,17657.560747528078,0.0,0.0,0.0,103.88633728027344,17657.560747528078
2024-09-02 03:00:00,3,2,0,0.0,0.0,100.4875030517578,168.78,16960.28076507568,0.0,0.0,0.0,100.4875030517578,16960.28076507568
2024-09-02 04:00:00,4,2,0,0.0,0.0,102.48749542236328,170.79,17503.839343185424,0.0,0.0,0.0,102.48749542236328,17503.839343185424
2024-09-02 05:00:00,5,2,0,0.0,0.0,99.7064208984375,172.28,17177.42219238281,0.0,0.0,0.0,99.7064208984375,17177.42219238281
2024-09-02 06:00:00,6,2,0,0.0,0.0,106.79298400878906,183.41,19586.901197052,0.0,0.0,0.0,106.79298400878906,19586.901197052
2024-09-02 07:00:00,7,2,0,0.0,0.0,149.03890991210938,149.2,22236.605358886718,0.0,0.0,0.0,149.03890991210938,22236.605358886718
2024-09-02 08:00:00,8,2,0,0.26,0.0,540.367431640625,98.84,53409.91694335938,0.0,0.0,0.0,540.367431640625,53409.91694335938
2024-09-02 09:00:00,9,2,6,6.74,0.0,579.0808715820312,78.44,45423.10356689453,0.0,0.0,0.0,579.0808715820312,45423.10356689453
2024-09-02 10:00:00,10,2,28,34.64,0.0,599.533447265625,73.54,44089.68971191406,0.0,0.0,0.0,599.533447265625,44089.68971191406
2024-09-02 11:00:00,11,2,69,70.8,0.0,298.34246826171875,74.8,22316.01662597656,0.0,0.0,0.0,298.34246826171875,22316.01662597656
2024-09-02 12:00:00,12,2,100,107.86,0.0,344.21051025390625,70.53,24277.16728820801,0.0,0.0,0.0,344.21051025390625,24277.16728820801
2024-09-02 13:00:00,13,2,112,125.28,0.0,349.2796325683594,71.95,25130.669563293457,0.0,0.0,0.0,349.2796325683594,25130.669563293457
2024-09-02 14:00:00,14,2,110,127.19,0.0,309.8568725585937,73.73,22845.747213745115,0.0,0.0,0.0,309.8568725585937,22845.747213745115
2024-09-02 15:00:00,15,2,109,111.49,0.0,151.9285888671875,81.17,12332.04355834961,0.0,0.0,0.0,151.9285888671875,12332.04355834961
2024-09-02 16:00:00,16,2,105,123.61,0.0,149.67266845703125,95.2,14248.838037109375,0.0,0.0,0.0,149.67266845703125,14248.838037109375
2024-09-02 17:00:00,17,2,95,116.12,0.0,186.887451171875,119.28,22291.93517578125,0.0,0.0,0.0,186.887451171875,22291.93517578125
2024-09-02 18:00:00,18,2,78,95.04,0.0,204.197265625,156.81,32020.17322265625,0.0,0.0,0.0,204.197265625,32020.17322265625
2024-09-02 19:00:00,19,2,54,59.92,0.0,263.8353271484375,153.39,40469.700831298826,0.0,0.0,0.0,263.8353271484375,40469.700831298826
2024-09-02 20:00:00,20,2,20,19.53,0.46999999999999886,295.2064514160156,141.52,41777.61700439453,0.0,0.0,0.0,295.2064514160156,41777.61700439453
2024-09-02 21:00:00,21,2,6,1.85,4.15,108.08871459960938,128.65,13905.613133239747,0.0,0.0,0.0,108.08871459960938,13905.613133239747
2024-09-02 22:00:00,22,2,0,-0.03,0.03,127.0813217163086,121.33,15418.776763839722,0.0,0.0,0.0,127.0813217163086,15418.776763839722
2024-09-02 23:00:00,23,2,0,0.0,0.0,112.2839813232422,115.75,12996.870838165285,0.0,0.0,0.0,112.2839813232422,12996.870838165285
2024-09-03 00:00:00,0,3,0,0.0,0.0,106.626220703125,115.25,12288.671936035156,0.0,0.0,0.0,106.626220703125,12288.671936035156
2024-09-03 01:00:00,1,3,0,0.0,0.0,106.90274047851562,116.68,12473.411759033204,0.0,0.0,0.0,106.90274047851562,12473.411759033204
2024-09-03 02:00:00,2,3,0,0.0,0.0,108.76618957519533,118.27,12863.777241058351,0.0,0.0,0.0,108.76618957519533,12863.777241058351
2024-09-03 03:00:00,3,3,0,0.0,0.0,107.68450164794922,121.66,13100.896470489502,0.0,0.0,0.0,107.68450164794922,13100.896470489502
